Nome,imagem,CodigoRgb,NomesCor,tipo
ArmÃ¡rio AÃ©reo Canelone com Vidro 2 PT Preto,https://static.mobly.com.br/p/Politorno-ArmC3A1rio-AC3A9reo-Canelone-com-Vidro-2-PT-Preto-5816-2819211-1-cart.jpg,"[[253, 253, 253], [82, 84, 79], [32, 33, 32], [170, 170, 170], [67, 69, 65]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
ArmÃ¡rio AÃ©reo Bruges Espelhado 2 PT Nogal,https://static.mobly.com.br/p/Kappesberg-ArmC3A1rio-AC3A9reo-Bruges-Espelhado-2-PT-Nogal-5107-778188-1-cart.jpg,"[[110, 94, 75], [254, 254, 253], [200, 192, 175], [139, 128, 110], [188, 179, 160]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Cozinha Compacta Merlot 9 PT 1 GV Castanho e Branca,https://static.mobly.com.br/p/Ronipa-Cozinha-Compacta-Merlot-9-PT-1-GV-Castanho-e-Branca-6451-338629-1-cart.jpg,"[[216, 220, 222], [71, 55, 41], [133, 127, 118], [176, 175, 172], [106, 91, 78]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Conjunto Cozinha
ArmÃ¡rio AÃ©reo Botanic 3 PT Nogueira 120 cm,https://static.mobly.com.br/p/Kappesberg-ArmC3A1rio-AC3A9reo-Botanic-3-PT-Nogueira-120-cm-3910-037599-1-cart.jpg,"[[208, 196, 182], [144, 117, 84], [254, 254, 253], [159, 137, 112], [132, 105, 73]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Paneleiro Botanic 2 PT Nogueira e Verde Oliva,https://static.mobly.com.br/p/Kappesberg-Paneleiro-Botanic-2-PT-Nogueira-e-Verde-Oliva-3509-427599-1-cart.jpg,"[[195, 186, 175], [254, 254, 254], [117, 113, 90], [137, 127, 118], [235, 233, 231]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Paneleiro
BalcÃ£o de Cozinha com Tampo Botanic 2 PT Fendi e Nogueira,https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-com-Tampo-Botanic-2-PT-Fendi-e-Nogueira-2468-1684001-1-cart.jpg,"[[150, 134, 121], [254, 254, 253], [124, 100, 73], [185, 172, 159], [234, 226, 216]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
BalcÃ£o de Cozinha Evolution com Tampo 2 PT Carvalho,https://static.mobly.com.br/p/BATROL-BalcC3A3o-de-Cozinha-Evolution-com-Tampo-2-PT--Carvalho-3466-323016-1-cart.jpg,"[[252, 252, 252], [72, 70, 72], [171, 157, 144], [213, 211, 210], [133, 125, 119]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
BalcÃ£o de Cozinha com Tampo Vega 3 PT Branco,https://static.mobly.com.br/p/Arte-MC3B3veis-BalcC3A3o-de-Cozinha-com-Tampo-Vega-3-PT-Branco-2936-1558411-1-cart.jpg,"[[162, 160, 163], [253, 253, 253], [211, 211, 215], [114, 114, 111], [62, 61, 59]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
BalcÃ£o de Cozinha com Tampo Iluminata 2 PT Branco e Ãbano,https://static.mobly.com.br/p/GENIALFLEX-BalcC3A3o-de-Cozinha-com-Tampo-Iluminata-2-PT-Branco-e-C389bano-8626-4601201-1-cart.jpg,"[[238, 237, 236], [142, 116, 96], [254, 254, 253], [102, 72, 50], [199, 187, 177]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Conjunto com 2 Cadeiras Varsovia Luxo Veludo Marrom e Imbuia,https://static.mobly.com.br/p/Modern-Conjunto-com-2-Cadeiras-Varsovia-Luxo-Veludo-Marrom-e-Imbuia-1197-2983611-1-cart.jpg,"[[254, 254, 253], [104, 86, 73], [159, 147, 137], [77, 56, 43], [213, 204, 195]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
BalcÃ£o de Cozinha Campinas 4 PT 1 GV Branco,https://static.mobly.com.br/p/Arte-MC3B3veis-BalcC3A3o-de-Cozinha-Campinas-4-PT-1-GV-Branco-4800-9951301-1-cart.jpg,"[[210, 210, 210], [254, 254, 254], [174, 174, 174], [219, 218, 218], [196, 195, 196]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Conjunto com 4 Cadeiras Atenas Suede Animalle Chocolate e Capuccino,https://static.mobly.com.br/p/Modern-Conjunto-com-4-Cadeiras-Atenas-Suede-Animalle-Chocolate-e-Capuccino-1194-3983611-1-cart.jpg,"[[180, 163, 147], [254, 253, 252], [107, 83, 62], [148, 126, 106], [222, 211, 198]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Paneleiro Maxxi 1 PT 3 GV Branco,https://static.mobly.com.br/p/Kappesberg-Paneleiro-Maxxi-1-PT-3-GV-Branco-2225-807789-1-cart.jpg,"[[254, 254, 254], [201, 200, 199], [221, 218, 218], [156, 152, 149], [238, 237, 237]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Paneleiro
Conjunto com 4 Cadeiras Atenas Suede Amassado Chocolate e Capuccino,https://static.mobly.com.br/p/Modern-Conjunto-com-4-Cadeiras-Atenas-Suede-Amassado-Chocolate-e-Capuccino-1191-4983611-1-cart.jpg,"[[254, 254, 252], [166, 152, 135], [117, 101, 84], [229, 221, 210], [193, 181, 166]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Tampo para BalcÃ£o Nox Orion 80 cm,https://static.mobly.com.br/p/Kappesberg-Tampo-para-BalcC3A3o-Nox-Orion-80-cm-1446-986119-1-cart.jpg,"[[254, 254, 254], [212, 206, 194], [241, 239, 235], [223, 219, 212], [190, 187, 179]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Conjunto com 4 Cadeiras Aurora Veludo PÃ©rola e Capuccino,https://static.mobly.com.br/p/Modern-Conjunto-com-4-Cadeiras-Aurora-Veludo-PC3A9rola-e-Capuccino-1263-5983611-1-cart.jpg,"[[198, 182, 168], [254, 253, 252], [238, 231, 222], [153, 132, 116], [218, 206, 194]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
BalcÃ£o de Cozinha Nox 2 PT Ãnix e Steel 80 cm,https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-Nox-2-PT-C394nix-e-Steel-80-cm-1526-766119-1-cart.jpg,"[[253, 253, 252], [65, 60, 53], [206, 206, 205], [105, 102, 97], [159, 156, 152]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Bancada Americana Affara,https://static.mobly.com.br/p/Plata-Bancada-Americana-Affara-7394-4936611-1-cart.jpg,"[[98, 83, 70], [254, 254, 253], [60, 49, 39], [193, 188, 183], [133, 124, 116]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Paneleiro Iluminata com Vidro 1 PT 1 GV Verde Mint e Ãbano,https://static.mobly.com.br/p/GENIALFLEX-Paneleiro-Iluminata-com-Vidro-1-PT-1-GV-Verde-Mint-e-C389bano-8176-4449401-1-cart.jpg,"[[254, 254, 253], [106, 109, 97], [172, 172, 162], [35, 25, 20], [205, 206, 198]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Paneleiro
BalcÃ£o de Cozinha com Tampo Botanic 2 PT 3 GV Verde Oliva e Nogueira,https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-com-Tampo-Botanic-2-PT-3-GV-Verde-Oliva-e-Nogueira-2450-4684001-1-cart.jpg,"[[121, 99, 72], [253, 253, 252], [108, 124, 99], [206, 198, 184], [149, 135, 111]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
BalcÃ£o de Cozinha com Tampo Chardonnay 3 PT 2 GV Castanho e Branco,https://static.mobly.com.br/p/Ronipa-BalcC3A3o-de-Cozinha-com-Tampo-Chardonnay-3-PT-2-GV-Castanho-e-Branco-8933-766637-1-cart.jpg,"[[161, 130, 105], [251, 252, 250], [44, 42, 28], [206, 180, 161], [95, 83, 64]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Conjunto com 2 Cadeiras Amanda Veludo Bege e Imbuia,https://static.mobly.com.br/p/Modern-Conjunto-com-2-Cadeiras-Amanda-Veludo-Bege-e-Imbuia-6654-8319611-1-cart.jpg,"[[153, 127, 113], [253, 253, 252], [108, 86, 68], [181, 156, 143], [224, 214, 205]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
