Nome,CodigoRgb,NomesCores,imagem,tipo
Cozinha Compacta Merlot 9 PT 1 GV Castanho e Branca,"['#d8dcde', '#473729', '#857f76', '#b0afac', '#6a5b4e']","['gainsboro', 'darkslategray', 'gray', 'darkgray', 'dimgray']",https://static.mobly.com.br/p/Ronipa-Cozinha-Compacta-Merlot-9-PT-1-GV-Castanho-e-Branca-6451-338629-1-cart.jpg,Conjunto Cozinha
ArmÃ¡rio AÃ©reo Botanic 3 PT Nogueira 120 cm,"['#d0c4b6', '#907554', '#fefefd', '#9f8970', '#846949']","['silver', 'dimgray', 'white', 'gray', 'dimgray']",https://static.mobly.com.br/p/Kappesberg-ArmC3A1rio-AC3A9reo-Botanic-3-PT-Nogueira-120-cm-3910-037599-1-cart.jpg,
Paneleiro Botanic 2 PT Nogueira e Verde Oliva,"['#c3baaf', '#fefefe', '#75715a', '#897f76', '#ebe9e7']","['silver', 'white', 'dimgray', 'gray', 'linen']",https://static.mobly.com.br/p/Kappesberg-Paneleiro-Botanic-2-PT-Nogueira-e-Verde-Oliva-3509-427599-1-cart.jpg,Paneleiro
BalcÃ£o de Cozinha com Tampo Botanic 2 PT Fendi e Nogueira,"['#968679', '#fefefd', '#7c6449', '#b9ac9f', '#eae2d8']","['gray', 'white', 'dimgray', 'darkgray', 'gainsboro']",https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-com-Tampo-Botanic-2-PT-Fendi-e-Nogueira-2468-1684001-1-cart.jpg,Balcao de Cozinha
BalcÃ£o de Cozinha Evolution com Tampo 2 PT Carvalho,"['#fcfcfc', '#484648', '#ab9d90', '#d5d3d2', '#857d77']","['snow', 'darkslategray', 'rosybrown', 'lightgray', 'gray']",https://static.mobly.com.br/p/BATROL-BalcC3A3o-de-Cozinha-Evolution-com-Tampo-2-PT--Carvalho-3466-323016-1-cart.jpg,Balcao de Cozinha
BalcÃ£o de Cozinha com Tampo Vega 3 PT Branco,"['#a2a0a3', '#fdfdfd', '#d3d3d7', '#72726f', '#3e3d3b']","['darkgray', 'white', 'lightgray', 'dimgray', 'darkslategray']",https://static.mobly.com.br/p/Arte-MC3B3veis-BalcC3A3o-de-Cozinha-com-Tampo-Vega-3-PT-Branco-2936-1558411-1-cart.jpg,Balcao de Cozinha
BalcÃ£o de Cozinha com Tampo Iluminata 2 PT Branco e Ãbano,"['#eeedec', '#8e7460', '#fefefd', '#664832', '#c7bbb1']","['linen', 'gray', 'white', 'darkolivegreen', 'silver']",https://static.mobly.com.br/p/GENIALFLEX-BalcC3A3o-de-Cozinha-com-Tampo-Iluminata-2-PT-Branco-e-C389bano-8626-4601201-1-cart.jpg,Balcao de Cozinha
Conjunto com 2 Cadeiras Varsovia Luxo Veludo Marrom e Imbuia,"['#fefefd', '#685649', '#9f9389', '#4d382b', '#d5ccc3']","['white', 'dimgray', 'rosybrown', 'darkolivegreen', 'lightgray']",https://static.mobly.com.br/p/Modern-Conjunto-com-2-Cadeiras-Varsovia-Luxo-Veludo-Marrom-e-Imbuia-1197-2983611-1-cart.jpg,
BalcÃ£o de Cozinha Campinas 4 PT 1 GV Branco,"['#d2d2d2', '#fefefe', '#aeaeae', '#dbdada', '#c4c3c4']","['lightgray', 'white', 'darkgray', 'gainsboro', 'silver']",https://static.mobly.com.br/p/Arte-MC3B3veis-BalcC3A3o-de-Cozinha-Campinas-4-PT-1-GV-Branco-4800-9951301-1-cart.jpg,Balcao de Cozinha
Conjunto com 4 Cadeiras Atenas Suede Animalle Chocolate e Capuccino,"['#b4a393', '#fefdfc', '#6b533e', '#947e6a', '#ded3c6']","['rosybrown', 'white', 'darkolivegreen', 'gray', 'lightgray']",https://static.mobly.com.br/p/Modern-Conjunto-com-4-Cadeiras-Atenas-Suede-Animalle-Chocolate-e-Capuccino-1194-3983611-1-cart.jpg,
Paneleiro Maxxi 1 PT 3 GV Branco,"['#fefefe', '#c9c8c7', '#dddada', '#9c9895', '#eeeded']","['white', 'silver', 'gainsboro', 'darkgray', 'whitesmoke']",https://static.mobly.com.br/p/Kappesberg-Paneleiro-Maxxi-1-PT-3-GV-Branco-2225-807789-1-cart.jpg,Paneleiro
Conjunto com 4 Cadeiras Atenas Suede Amassado Chocolate e Capuccino,"['#fefefc', '#a69887', '#756554', '#e5ddd2', '#c1b5a6']","['white', 'rosybrown', 'dimgray', 'gainsboro', 'darkgray']",https://static.mobly.com.br/p/Modern-Conjunto-com-4-Cadeiras-Atenas-Suede-Amassado-Chocolate-e-Capuccino-1191-4983611-1-cart.jpg,
Tampo para BalcÃ£o Nox Orion 80 cm,"['#fefefe', '#d4cec2', '#f1efeb', '#dfdbd4', '#bebbb3']","['white', 'lightgray', 'linen', 'gainsboro', 'silver']",https://static.mobly.com.br/p/Kappesberg-Tampo-para-BalcC3A3o-Nox-Orion-80-cm-1446-986119-1-cart.jpg,
Conjunto com 4 Cadeiras Aurora Veludo PÃ©rola e Capuccino,"['#c6b6a8', '#fefdfc', '#eee7de', '#998474', '#dacec2']","['silver', 'white', 'antiquewhite', 'gray', 'lightgray']",https://static.mobly.com.br/p/Modern-Conjunto-com-4-Cadeiras-Aurora-Veludo-PC3A9rola-e-Capuccino-1263-5983611-1-cart.jpg,
BalcÃ£o de Cozinha Nox 2 PT Ãnix e Steel 80 cm,"['#fdfdfc', '#413c35', '#cececd', '#696661', '#9f9c98']","['white', 'darkslategray', 'lightgray', 'dimgray', 'darkgray']",https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-Nox-2-PT-C394nix-e-Steel-80-cm-1526-766119-1-cart.jpg,Balcao de Cozinha
Bancada Americana Affara,"['#625346', '#fefefd', '#3c3127', '#c1bcb7', '#857c74']","['darkolivegreen', 'white', 'darkslategray', 'silver', 'gray']",https://static.mobly.com.br/p/Plata-Bancada-Americana-Affara-7394-4936611-1-cart.jpg,
Paneleiro Iluminata com Vidro 1 PT 1 GV Verde Mint e Ãbano,"['#fefefd', '#6a6d61', '#acaca2', '#231914', '#cdcec6']","['white', 'dimgray', 'darkgray', 'black', 'lightgray']",https://static.mobly.com.br/p/GENIALFLEX-Paneleiro-Iluminata-com-Vidro-1-PT-1-GV-Verde-Mint-e-C389bano-8176-4449401-1-cart.jpg,Paneleiro
BalcÃ£o de Cozinha com Tampo Botanic 2 PT 3 GV Verde Oliva e Nogueira,"['#796348', '#fdfdfc', '#6c7c63', '#cec6b8', '#95876f']","['dimgray', 'white', 'dimgray', 'silver', 'gray']",https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-com-Tampo-Botanic-2-PT-3-GV-Verde-Oliva-e-Nogueira-2450-4684001-1-cart.jpg,Balcao de Cozinha
BalcÃ£o de Cozinha com Tampo Chardonnay 3 PT 2 GV Castanho e Branco,"['#a18269', '#fbfcfa', '#2c2a1c', '#ceb4a1', '#5f5340']","['gray', 'snow', 'darkslategray', 'tan', 'darkolivegreen']",https://static.mobly.com.br/p/Ronipa-BalcC3A3o-de-Cozinha-com-Tampo-Chardonnay-3-PT-2-GV-Castanho-e-Branco-8933-766637-1-cart.jpg,Balcao de Cozinha
Conjunto com 2 Cadeiras Amanda Veludo Bege e Imbuia,"['#997f71', '#fdfdfc', '#6c5644', '#b59c8f', '#e0d6cd']","['gray', 'white', 'darkolivegreen', 'rosybrown', 'lightgray']",https://static.mobly.com.br/p/Modern-Conjunto-com-2-Cadeiras-Amanda-Veludo-Bege-e-Imbuia-6654-8319611-1-cart.jpg,
Conjunto com 2 Cadeiras Amanda Veludo Marrom Claro e Imbuia,"['#66503d', '#fdfdfb', '#907660', '#dfd4c9', '#ae9783']","['darkolivegreen', 'snow', 'gray', 'lightgray', 'rosybrown']",https://static.mobly.com.br/p/Modern-Conjunto-com-2-Cadeiras-Amanda-Veludo-Marrom-Claro-e-Imbuia-1425-9319611-1-cart.jpg,
ArmÃ¡rio AÃ©reo Frow II 2 PT FreijÃ³ e Off White 80 cm,"['#866c4b', '#f3eee4', '#fefefd', '#9c8e7d', '#d4c9ba']","['dimgray', 'linen', 'white', 'gray', 'silver']",https://static.mobly.com.br/p/Kappesberg-ArmC3A1rio-AC3A9reo-Frow-II-2-PT-FreijC3B3-e-Off-White-80-cm-9921-659147-1-cart.jpg,
Cozinha Compacta Firenze II 6 PT 2 GV AmÃªndola e Branca,"['#7d6e66', '#f7f7f6', '#cccac7', '#423830', '#aa9d96']","['dimgray', 'whitesmoke', 'lightgray', 'darkslategray', 'darkgray']",https://static.mobly.com.br/p/DemC3B3bile-Cozinha-Compacta-Firenze-II-6-PT-2-GV-AmC3AAndola-e-Branca-3333-799299-1-cart.jpg,Conjunto Cozinha
Tampo de Cozinha Atena Teka 120 cm,"['#fefefe', '#806c51', '#ada08e', '#dfd6c8', '#735c3c']","['white', 'dimgray', 'rosybrown', 'lightgray', 'darkolivegreen']",https://static.mobly.com.br/p/Gralar-Tampo-de-Cozinha-Atena-Teka-120-cm-0475-5336111-1-cart.jpg,
BalcÃ£o de Cozinha com Tampo Botanic 2 PT 3 GV Fendi e Nogueira,"['#fdfdfc', '#8c775e', '#96897a', '#7a6047', '#cbbfb2']","['white', 'gray', 'gray', 'dimgray', 'silver']",https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-com-Tampo-Botanic-2-PT-3-GV-Fendi-e-Nogueira-2455-3684001-1-cart.jpg,Balcao de Cozinha
Paneleiro Conecta 4 PT Ãbano e Branco 80 cm,"['#635348', '#a69b95', '#46372d', '#c4bbb7', '#78675d']","['darkolivegreen', 'darkgray', 'darkslategray', 'silver', 'dimgray']",https://static.mobly.com.br/p/GENIALFLEX-Paneleiro-Conecta-4-PT-C389bano-e-Branco-80-cm-9612-5729211-1-cart.jpg,Paneleiro
Cozinha Completa Madesa Reims 310001 com ArmÃ¡rio e BalcÃ£o - Preto/Rustic,"['#4d4132', '#b19a79', '#827053', '#d3bfa0', '#2f2720']","['darkolivegreen', 'rosybrown', 'dimgray', 'tan', 'darkslategray']",https://static.mobly.com.br/p/Madesa-Cozinha-Completa-Madesa-Reims-310001-com-ArmC3A1rio-e-BalcC3A3o---Preto2FRustic-9005-172867-1-cart.jpg,Cozinha completa
ArmÃ¡rio AÃ©reo Chardonnay 3 PT Castanho e Branco,"['#f2eeec', '#a49583', '#fefefd', '#cec5b9', '#9b836c']","['linen', 'rosybrown', 'white', 'silver', 'gray']",https://static.mobly.com.br/p/Ronipa-ArmC3A1rio-AC3A9reo-Chardonnay-3-PT-Castanho-e-Branco-0864-366637-1-cart.jpg,
ArmÃ¡rio AÃ©reo Iluminata 1 PT Branco 80 cm,"['#fefefe', '#e5e4e2', '#8e7664', '#b09b8a', '#d9ccbf']","['white', 'gainsboro', 'gray', 'rosybrown', 'lightgray']",https://static.mobly.com.br/p/GENIALFLEX-ArmC3A1rio-AC3A9reo-Iluminata-1-PT-Branco-80-cm-8226-1349401-1-cart.jpg,
BalcÃ£o de Cozinha com Tampo Confort 2 PT 4 GV Grafite e Branco,"['#fefefd', '#878788', '#b1b1b1', '#49494a', '#d8d8d9']","['white', 'gray', 'darkgray', 'darkslategray', 'gainsboro']",https://static.mobly.com.br/p/BATROL-BalcC3A3o-de-Cozinha-com-Tampo-Confort-2-PT-4-GV-Grafite-e-Branco-3444-860879-1-cart.jpg,Balcao de Cozinha
Fruteira Curitiba 1 GV Preta,"['#c8c4bf', '#352a26', '#fefefe', '#776c60', '#0d0c0a']","['silver', 'darkslategray', 'white', 'dimgray', 'black']",https://static.mobly.com.br/p/Arte-MC3B3veis-Fruteira-Curitiba-1-GV-Preta-4681-6951301-1-cart.jpg,
BalcÃ£o de Cozinha Botanic 2 PT Nogueira e Verde Oliva,"['#6c7c62', '#fcfcfb', '#7e6043', '#e87548', '#d9c6b5']","['dimgray', 'snow', 'sienna', 'coral', 'silver']",https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-Botanic-2-PT-Nogueira-e-Verde-Oliva-3184-127599-1-cart.jpg,Balcao de Cozinha
Cozinha Compacta Malbec Prime 12 PT 2 GV Castanho e Chumbo,"['#6c5b4f', '#aaa29b', '#4b4846', '#8a827b', '#412f24']","['dimgray', 'darkgray', 'darkslategray', 'gray', 'darkslategray']",https://static.mobly.com.br/p/Ronipa-Cozinha-Compacta-Malbec-Prime-12-PT-2-GV-Castanho-e-Chumbo-9005-268367-1-cart.jpg,Conjunto Cozinha
BalcÃ£o de Cozinha Frow PT FreijÃ³,"['#fefefd', '#66523b', '#bcb1a0', '#edeade', '#8b6d4c']","['white', 'darkolivegreen', 'darkgray', 'beige', 'dimgray']",https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-Frow-PT-FreijC3B3-1671-249147-1-cart.jpg,Balcao de Cozinha
ArmÃ¡rio MultiÃºso com Mesa GoiÃ¡s 2 PT Branco,"['#fdfdfd', '#a39f94', '#e7e6e6', '#706a5a', '#c8c7c3']","['white', 'darkgray', 'gainsboro', 'dimgray', 'silver']",https://static.mobly.com.br/p/Politorno-ArmC3A1rio-MultiC3BAso-com-Mesa-GoiC3A1s-2-PT-Branco-5775-959762-1-cart.jpg,
BalcÃ£o de Cozinha com Tampo CarmÃ©nere 3 PT 2 GV Castanho e Chumbo,"['#d7b09a', '#545453', '#fefefd', '#847f7b', '#ddd3cd']","['tan', 'dimgray', 'white', 'gray', 'lightgray']",https://static.mobly.com.br/p/Ronipa-BalcC3A3o-de-Cozinha-com-Tampo-CarmC3A9nere-3-PT-2-GV-Castanho-e-Chumbo-7683-207637-1-cart.jpg,Balcao de Cozinha
ArmÃ¡rio para Micro-ondas Asti 1 PT Branco,"['#fefefe', '#adadad', '#dedede', '#c6c6c6', '#979797']","['white', 'darkgray', 'gainsboro', 'silver', 'darkgray']",https://static.mobly.com.br/p/BRV-MC3B3veis-ArmC3A1rio-para-Micro-ondas-Asti-1-PT-Branco-4638-63321-1-cart.jpg,
BalcÃ£o de Cozinha Bruges com Tampo 1 PT FreijÃ³ e Off White 60 cm,"['#fefefd', '#856949', '#edebdf', '#c5bcaf', '#a78d6f']","['white', 'dimgray', 'beige', 'silver', 'rosybrown']",https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-Bruges-com-Tampo-1-PT-FreijC3B3-e-Off-White-60-cm-5252-788188-1-cart.jpg,Balcao de Cozinha
BalcÃ£o de Cozinha Iluminata 2 PT 3 GV Branco 120 cm,"['#fefdfd', '#e1dddc', '#e47145', '#7c7470', '#d0b0a2']","['white', 'gainsboro', 'tomato', 'gray', 'tan']",https://static.mobly.com.br/p/GENIALFLEX-BalcC3A3o-de-Cozinha-Iluminata-2-PT-3-GV-Branco-120-cm-6011-8469301-1-cart.jpg,Balcao de Cozinha
Paneleiro Chardonnay 2 PT Castanho e Branco,"['#fefefe', '#d3baa9', '#ebe9e7', '#908677', '#c59c81']","['white', 'tan', 'linen', 'gray', 'rosybrown']",https://static.mobly.com.br/p/Ronipa-Paneleiro-Chardonnay-2-PT-Castanho-e-Branco-2086-966637-1-cart.jpg,Paneleiro
BalcÃ£o de Cozinha com Tampo New 2 PT 1 GV Tannat e Branco,"['#fcfcfc', '#4b3b30', '#b2afad', '#8d8b89', '#dedcdc']","['snow', 'darkslategray', 'darkgray', 'gray', 'gainsboro']",https://static.mobly.com.br/p/BATROL-BalcC3A3o-de-Cozinha-com-Tampo-New-2-PT-1-GV-Tannat-e-Branco-4941-7290211-1-cart.jpg,Balcao de Cozinha
Paneleiro Duplo Forno Firenze 4 PT Avena,"['#d2c6ba', '#bfa792', '#35302b', '#fefefd', '#817367']","['silver', 'tan', 'darkslategray', 'white', 'dimgray']",https://static.mobly.com.br/p/DemC3B3bile-Paneleiro-Duplo-Forno-Firenze-4-PT-Avena-2746-4442001-1-cart.jpg,Paneleiro
ArmÃ¡rio AÃ©reo Napoli Prime 1 PT Castanho e Branco,"['#fefefd', '#7b6452', '#392617', '#d6d6d6', '#a99687']","['white', 'dimgray', 'darkslategray', 'lightgray', 'rosybrown']",https://static.mobly.com.br/p/Ronipa-ArmC3A1rio-AC3A9reo-Napoli-Prime-1-PT-Castanho-e-Branco-1015-220667-1-cart.jpg,
Fruteira Curitiba 1 GV Branca,"['#fefefe', '#a1a1a1', '#d8d8d8', '#868686', '#b9b9b9']","['white', 'darkgray', 'gainsboro', 'gray', 'silver']",https://static.mobly.com.br/p/Arte-MC3B3veis-Fruteira-Curitiba-1-GV-Branca-4700-3951301-1-cart.jpg,
ArmÃ¡rio AÃ©reo Botanic com Tela 2 PT Nogueira 80 cm,"['#b1a289', '#fefefd', '#876f50', '#857c74', '#dcd2c3']","['rosybrown', 'white', 'dimgray', 'gray', 'lightgray']",https://static.mobly.com.br/p/Kappesberg-ArmC3A1rio-AC3A9reo-Botanic-com-Tela-2-PT-Nogueira-80-cm-3861-927599-1-cart.jpg,
ArmÃ¡rio de Cozinha Simple 1 PT Branco,"['#fefefe', '#e2e2e2', '#d6d6d6', '#f2f2f2', '#dedede']","['white', 'gainsboro', 'lightgray', 'whitesmoke', 'gainsboro']",https://static.mobly.com.br/p/Mobly-ArmC3A1rio-de-Cozinha-Simple-1-PT-Branco-3344-164699-1-cart.jpg,
Paneleiro Nox 2 PT Ãnix e Steel,"['#fefefe', '#413e38', '#d4d3d4', '#7c7a75', '#bebcbb']","['white', 'darkslategray', 'lightgray', 'gray', 'silver']",https://static.mobly.com.br/p/Kappesberg-Paneleiro-Nox-2-PT-C394nix-e-Steel-1505-276119-1-cart.jpg,Paneleiro
BalcÃ£o de Cozinha Cheff Master com Tampo 2 PT Tannah e Branco,"['#fefefe', '#9b9794', '#6e5a4c', '#e0e0e0', '#c5c4c4']","['white', 'darkgray', 'dimgray', 'gainsboro', 'silver']",https://static.mobly.com.br/p/BATROL-BalcC3A3o-de-Cozinha-Cheff-Master-com-Tampo-2-PT--Tannah-e-Branco-5391-243016-1-cart.jpg,Balcao de Cozinha
Paneleiro Napoli Prime 4 PT Castanho e Chumbo,"['#fefefe', '#726c69', '#878585', '#eeebe6', '#b5b5b4']","['white', 'dimgray', 'gray', 'linen', 'silver']",https://static.mobly.com.br/p/Ronipa-Paneleiro-Napoli-Prime-4-PT-Castanho-e-Chumbo-4385-757489-1-cart.jpg,Paneleiro
ArmÃ¡rio AÃ©reo Max 1 PT Branco,"['#e5e8ed', '#888285', '#fefefe', '#3b414e', '#bdbfc7']","['lavender', 'gray', 'white', 'darkslategray', 'silver']",https://static.mobly.com.br/p/Arte-MC3B3veis-ArmC3A1rio-AC3A9reo-Max-1-PT-Branco-2916-4558411-1-cart.jpg,
ArmÃ¡rio AÃ©reo Max 1 PT Branco e Preto,"['#fdfdfd', '#030203', '#9d887c', '#b8b2af', '#6e513f']","['white', 'black', 'gray', 'darkgray', 'darkolivegreen']",https://static.mobly.com.br/p/Arte-MC3B3veis-ArmC3A1rio-AC3A9reo-Max-1-PT-Branco-e-Preto-2910-5558411-1-cart.jpg,
BalcÃ£o para Micro-Ondas com Fruteira Adriana 1 PT Branco,"['#fefefe', '#d9d9d9', '#ececec', '#e3e3e3', '#cdcdcd']","['white', 'gainsboro', 'whitesmoke', 'gainsboro', 'lightgray']",https://static.mobly.com.br/p/Genial-Flex-BalcC3A3o-para-Micro-Ondas-com-Fruteira-Adriana-1-PT-Branco-5161-235506-1-cart.jpg,
ArmÃ¡rio AÃ©reo Max 1 PT FreijÃ³ e Branco,"['#cacad2', '#291108', '#fefefd', '#877164', '#5d3720']","['lightgray', 'black', 'white', 'dimgray', 'saddlebrown']",https://static.mobly.com.br/p/Arte-MC3B3veis-ArmC3A1rio-AC3A9reo-Max-1-PT-FreijC3B3-e-Branco-2897-7558411-1-cart.jpg,
Paneleiro Chardonnay 4 PT Castanho e Chumbo,"['#fefefe', '#7f6249', '#452d19', '#c7bfb5', '#4e4a47']","['white', 'dimgray', 'darkslategray', 'silver', 'darkslategray']",https://static.mobly.com.br/p/Ronipa-Paneleiro-Chardonnay-4-PT-Castanho-e-Chumbo-9647-6079301-1-cart.jpg,Paneleiro
ArmÃ¡rio AÃ©reo Max 1 PT FreijÃ³ e Grafite,"['#fefefd', '#1f1a19', '#bcac9d', '#756255', '#55321d']","['white', 'black', 'darkgray', 'dimgray', 'saddlebrown']",https://static.mobly.com.br/p/Arte-MC3B3veis-ArmC3A1rio-AC3A9reo-Max-1-PT-FreijC3B3-e-Grafite-2891-8558411-1-cart.jpg,
BalcÃ£o de Cozinha com Tampo Evidence 1 PT Branco 40 cm,"['#6f6f6f', '#fefefe', '#e7e7e7', '#292929', '#b7b7b7']","['dimgray', 'white', 'lavender', 'darkslategray', 'silver']",https://static.mobly.com.br/p/Poliman-BalcC3A3o-de-Cozinha-com-Tampo-Evidence-1-PT-Branco-40-cm-5532-9379401-1-cart.jpg,Balcao de Cozinha
ArmÃ¡rio AÃ©reo Max 1 PT Preto,"['#5a5654', '#fefefd', '#0c0908', '#2a2a29', '#939190']","['dimgray', 'white', 'black', 'darkslategray', 'gray']",https://static.mobly.com.br/p/Arte-MC3B3veis-ArmC3A1rio-AC3A9reo-Max-1-PT-Preto-2885-9558411-1-cart.jpg,
Cozinha Compacta Vini 2 PT Preta,"['#201e1e', '#c2c2bf', '#5b5a55', '#e2e2e0', '#8d8b85']","['black', 'silver', 'dimgray', 'gainsboro', 'gray']",https://static.mobly.com.br/p/Patrimar-Cozinha-Compacta-Vini-2-PT-Preta-3315-130866-1-cart.jpg,Conjunto Cozinha
Fruteira ParanÃ¡ com Cestos 1 PT Branca,"['#898887', '#fefefe', '#bababa', '#44403a', '#d0d0cf']","['gray', 'white', 'silver', 'darkslategray', 'lightgray']",https://static.mobly.com.br/p/Arte-MC3B3veis-Fruteira-ParanC3A1-com-Cestos-1-PT-Branca-2880-0658411-1-cart.jpg,
